,ProductId,ProductName,Cost,Price,Rating,ProductTag,AvalQuantity,BoxDimensions
0,245,Guatemalan Signature Roast Ground Coffee,13.78,25.99,4.4427,"coffee, ground",93,8x4x3
1,278,Los Gigantes Colombia (Coffee Beans),10.75,20.0,4.3185,"coffee, artisanal",5,6x3x2
2,351,Rowkin Bit Charge Stereo (Silver),64.0,102.99,4.0,music,6,
3,424,Chocolate Fruit and Nut Dragee Sampler,21.0,35.0,4.4643,sweet,12,
4,700,Pro Lens Kit for Phone Camera,24.5,42.99,4.3588,photography,1,8x4x3
5,744,Color i‑Type Film,13.25,19.99,4.3611,photography,57,3.94x0.79x4.84
6,1002,Hawaiian Sea Salt Caramel - 1.5 oz. tin,4.18,14.95,4.1827,sweet,285,2x2x2
7,1014,Rowkin Bit Stereo (Gold),40.0,102.99,5.0,music,1,
8,1090,ASCENT MICRO,55.0,122.99,4.8125,music,5,
9,1091,Elite 65t Wireless Ear buds,69.99,119.99,3.6667,music,6,7x5x3
10,1101,Ascent Charge+ Black,80.0,162.99,5.0,music,4,
11,1102,Ascent Charge+ Slate,80.0,162.99,4.0,music,1,
12,1107,OneStep+ i-Type Camera- Black,104.99,142.99,4.0833,photography,17,4.21x5.04x6.14
13,1179,Gold Flask Funnel by Izola,6.5,18.0,4.1429,"hard liquor,accessory,LiquorAccessory",25,1.14x2.16x2.9
14,1183,Wicked Bone Smart Pet Toy,48.0,102.0,3.6429,"smart product, pets",1,8.3x4.7x3.5
15,1189,Nixplay Iris Cloud Frame,139.99,192.99,4.8,smart product,1,
16,1195,Cross Pen with TrackR (comes in MEDIUM box),47.5,103.0,4.1667,"pens,gadget",10,8x5x2.5
17,1200,Handmade Wooden Coasters,15.0,29.0,3.5,homeware,27,3.5x3.5x1
18,1201,Geometric Tea Light Holder,11.0,22.0,0.0,homeware,42,3x3x3
19,1205,Smart Device,37.0,102.0,4.0294,smart product,85,3x4x3
20,1220,Toketee (Coffee Beans),7.63,20.75,4.505,Artisanal,25,
21,1260,Aguas Altas Guatemalan Coffee (Medium Roast),1.8,5.45,3.8223,instant,671,0.98x3.74x7.3
22,1308,Toketee (Ground Coffee),7.63,20.75,4.3468,Coffee,25,
23,1319,Mini Smart Ball (blue)- Ages: 7+,37.5,52.99,4.069,"kids,7,8,9,10,11",8,
24,1323,Everyday English Breakfast Tea Pyramid Bags (TIN),6.28,11.98,4.5294,Tea,178,5x4x4
25,1636,Liquor Pourers Set of 2,4.94,12.94,4.25,"wine, accessory,LiquorAccessory",36,
26,1768,Jogger Plus Headset,19.0,32.99,3.95,music,9,6.50x5x1.7
27,1769,Active Noise Cancelling Bluetooth Headset,30.0,52.99,4.64,music,6,8.6x6.6x2
28,1786,Salut Flask (3oz) by Izola,12.0,27.0,4.1111,"hard liquor,accessory,LiquorAccessory",52,4.72x3.93x3.93
29,1800,Indoor Camera,38.99,62.99,4.8333,smart product,1,
30,1804,Cryosphere,20.0,43.0,3.8529,health and fitness,16,5x5x4
31,1826,Icon Au Gold Infuser with Tray,15.68,33.0,5.0,"Tea,Decaf",15,2.6x3x7.25
32,1840,WHISKYLOVER™ Black Tumblers and Stones,30.0,68.0,4.3548,"Hard Liquor ; Accessory,LiquorAccessory",2,
33,1848,Orbits Eye Stones,12.6,23.0,3.8039,"health and fitness,",4,
34,1858,Duo Tea Notes BG,2.75,8.0,4.6667,Tea ; Tea Bags,3,3.3x3.8x4.6
35,1859,Mini Signature Box (Five Pyramid Bags),5.61,15.0,4.6178,tea,812,5x4x2
36,1863,Scout Charger,23.0,52.99,4.5455,"gadget,outdoor",41,7x3.5x1
37,1902,Truly Wireless Earbuds -TWS105,23.0,52.99,4.4459,music,2,
38,1903,Sports Headphones with Microphone (E171),9.0,17.99,3.1667,music,3,‎4.72x1.38x1.02
39,1904,Waterproof Sports Headphones (TR509),15.0,27.99,3.0,music,2,
40,1909,Odeme Gold Flask Pink Box,12.5,37.5,2.6667,"hard liquor,accessory,,LiquorAccessory",23,4.72x3.93x3.93
41,1910,Odeme Flask Funnel Pink Box,4.5,13.0,2.5,"hard liquor,accessory,,LiquorAccessory",23,1.14x2.16x2.9
42,1985,Petite Presentation Box Herbal Retreat Tea (Pyramid Bags),9.35,25.0,4.5994,"decaf,",827,8x4x2
43,1988,Kati Steeping Cup and Infuser Noir,11.0,20.0,3.0,"Tea,decaf",1,3.75x3.5x5.75
44,1995,Polaroid Zip Mobile Photo Printer,77.8,102.99,4.5,photography,1,
45,1996,Polaroid Zip-Zink 20 sheet Photo Paper,8.75,17.99,4.8333,photography,6,
46,1997,Canon Ivy Printer (Mint Green),97.5,142.99,5.0,photography,2,
47,1998,Canon Ivy Zink Photo Paper,7.99,12.99,5.0,photography,1,
48,2000,BioLite FlexLight,9.27,17.95,5.0,"gadget,outdoor",5,
49,2001,BioLite Solar Lantern,16.3,27.95,5.0,"gadget,outdoor",1,
50,2038,Truly Wireless Earphones - TWS109,23.0,60.0,4.4833,music,14,4.30x6.50x1.14
51,2076,Serenity Spa Tower,25.0,53.0,4.2782,"health and fitness,,",592,2x2x11
52,2080,Raw Honey Sticks,5.75,15.5,4.0842,healthy treat,188,2x1x7
53,2088,Instant coffee- 5 pack,12.0,20.0,4.0323,Instant,114,4x4x1
54,2132,ACE Omni-roast (Whole-bean Coffee),12.0,22.0,4.6577,"coffee,artisanal",3,6x3x2
55,2169,Waterproof Wireless Door Bell,8.5,17.99,4.125,gadget,32,4x5x3
56,2192,Amber LED Stick Anywhere Nightlight,7.15,13.99,4.6667,gadget,5,
57,2233,Icon Stainless Loose Tea Infuser,6.27,17.0,3.5,Tea,30,7.75x3x1.5
58,2240,Pink Flamingos,6.63,12.95,3.7,Sweet,28,2x2x2
59,2241,Pink Diamonds,6.63,12.95,4.2222,Sweet,27,2x2x2
60,2251,Napa Wine Chiller,14.29,28.99,4.25,"wine,accessory,LiquorAccessory",302,3.5x3.5x3.5
61,2253,Bottle Opener Coasters,14.29,28.99,3.8214,"accessory,hard liquor,wine,LiquorAccessory",33,1x4x4
62,2268,"""Home Sweet Home"" Tea Towel",7.0,21.0,4.2,"tea,accessory",3,4.5x2.5x1
63,2296,The Kena Squeaky Toy,0.0,17.0,4.0957,pets,1,
64,2307,Synth Kit- Ages: 12+,17.5,37.99,4.3333,"kids,12,13,14",2,
65,2311,Great Minds Puzzle (Set of 5)- Ages: 8+,7.5,17.99,4.625,"kids,8,9,10",2,
66,2313,STEM Test Tube Jigsaw Puzzle- Ages:8+,2.5,7.99,3.1429,"kids,8,9,10",5,
67,2318,Solar Lamp- Ages: 4+,12.0,29.65,3.3333,"kids,4,5,6",31,
